data;id_venda;filial;vendedor;produto;cliente_nome;cliente_genero;forma_pagamento
2024-10-18 16:21:49.044362;0;Florianópolis;Mario Sérgio;Tenis Fila;Ronald Angel;masculino;credito
2024-10-18 16:35:45.290998;1;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Richard Fennell;masculino;credito
2024-10-18 16:55:48.618577;2;São Paulo;Cassia Moraes;Tenis Adidas;Lexie Bettinson;feminino;boleto
2024-10-18 17:16:45.542229;3;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Ricardo Williams;masculino;credito
2024-10-18 17:30:48.786929;4;Lajeado;Juliano Faccioni;Tenis Nike;Catherine Hamed;feminino;credito
2024-10-18 19:09:47.131075;5;Caxias do Sul;Rodrigo Vanzeloti;Tenis Nike;Nicole Winkler;feminino;credito
2024-10-18 20:40:47.959267;6;São Paulo;Cassia Moraes;Tenis NB;Florence Peveto;feminino;credito
2024-10-18 22:26:49.047237;7;Florianópolis;Mario Sérgio;Tenis Fila;Marilyn Sermersheim;feminino;credito
2024-10-18 23:39:45.825660;8;Porto Alegre;Luiza Cherobini;Tenis NB;Troy Faucher;masculino;credito
2024-10-19 16:27:47.172383;9;Canoas;Carlos Henrique;Tenis Nike;Isreal Berry;masculino;boleto
2024-10-19 16:43:45.705245;10;São Paulo;Claudio Bueno;Tenis Adidas;Lydia Hall;feminino;credito
2024-10-19 19:42:46.410232;11;Porto Alegre;Rodrigo Tadewald;Tenis Fila;Carla Gayne;feminino;credito
2024-10-19 21:00:48.544574;12;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Percy Griffen;masculino;pix
2024-10-19 21:02:47.814992;13;São Paulo;Cassia Moraes;Tenis Nike;Daniel Hayward;masculino;pix
2024-10-19 21:09:46.102198;14;São Paulo;Cassia Moraes;Tenis Fila;Raymond Gonzales;masculino;credito
2024-10-19 22:46:49.191242;15;Caxias do Sul;Rodrigo Vanzeloti;Tenis Fila;Ralph Hicks;masculino;credito
2024-10-20 01:35:47.361502;16;Lajeado;Adriano Soares;Tenis Fila;Ruth Jackson;feminino;boleto
2024-10-20 18:09:47.392449;17;Caxias do Sul;Rodrigo Vanzeloti;Tenis Adidas;Samuel Chapin;masculino;credito
2024-10-20 20:45:47.816984;18;Florianópolis;Claudia dos Santos;Tenis Fila;Lisa Johnson;feminino;credito
2024-10-20 21:21:47.239047;19;Florianópolis;Mario Sérgio;Tenis NB;Anne Chockley;feminino;credito
2024-10-21 00:06:48.380886;20;Florianópolis;Mario Sérgio;Tenis NB;James Pegram;masculino;pix
2024-10-21 02:26:45.180556;21;Canoas;Carlos Henrique;Tenis Adidas;Daniel Starks;masculino;credito
2024-10-21 16:25:48.673730;22;Caxias do Sul;Rodrigo Vanzeloti;Tenis NB;Tonya Rivera;feminino;credito
